id,name,start_date,end_date,replaces,replaced_by,cabinet,cabinetLabel
Q333350,"Michael Havers, Baron Havers",1975-02-18,1979-05-04,,Q7412628,,
Q7412628,"Samuel Silkin, Baron Silkin of Dulwich",1979-05-04,1979-07-14,Q333350,Q333932,,
Q333932,"John Morris, Baron Morris of Aberavon",1979-07-14,1981-11-24,Q7412628,Q1617771,,
Q1617771,"Peter Archer, Baron Archer of Sandwell",1981-11-24,1982-11-24,Q333932,Q4798416,,
Q4798416,Arthur Davidson (politician),1982-11-24,1983-06-09,Q1617771,Q333932,,
Q333932,"John Morris, Baron Morris of Aberavon",1983-06-09,1997-05-02,Q4798416,Q334638,,
Q334638,"Nicholas Lyell, Baron Lyell of Markyate",1997-05-02,1997-06-19,Q333932,Q334339,,
Q334339,Edward Garnier,1997-06-19,2001-09-13,Q334638,Q269449,,
Q269449,Bill Cash,2001-09-14,2003-11-06,Q334339,Q332994,,
Q332994,Dominic Grieve,2003-11-06,2009-09-08,Q269449,Q334339,,
Q334339,Edward Garnier,2009-09-08,2010-05-11,Q332994,Q194713,,
Q194713,Patricia Scotland,2010-05-11,2011-10-07,Q334339,Q272408,,
Q272408,Emily Thornberry,2011-10-07,2014-12-03,Q194713,Q1651801,,
Q1651801,"Willy Bach, Baron Bach",2014-12-03,2015-09-14,Q272408,Q3411409,,
Q3411409,Catherine McKinnell,2015-09-14,2016-01-11,Q1651801,Q272123,,
Q272123,Karl Turner (British politician),2016-01-11,2016-06-26,Q3411409,Q7487533,,
Q7487533,Shami Chakrabarti,2016-10-06,2020-04-06,Q272123,Q337117,,
Q337117,"Charlie Falconer, Baron Falconer of Thoroton",2020-04-06,,Q7487533,,,
